"Line" "Gener" "ind" "bloss" "GenLine" "dam" "sire" "SEL" "GA" "logGA" "UBA" "logUBA"
"118" "Up" "F1" "UP1_40" 1 "F1Up" "51342" "51063" "UtF2" 36.17 3.58823004596401 511.88 6.2380902225694
"119" "Up" "F1" "UP1_40" 2 "F1Up" "51342" "51063" "UtF2" 33.82 3.52105234347043 474.07 6.16135499011645
"120" "Up" "F1" "UP1_40" 3 "F1Up" "51342" "51063" "UtF2" 37.86 3.63389514578118 517.26 6.24854564944989
"121" "Up" "F1" "UP1_41" 1 "F1Up" "51342" "51077" "no" 31.59 3.45284061481399 654.22 6.48344368632759
"122" "Up" "F1" "UP1_41" 2 "F1Up" "51342" "51077" "no" 33.65 3.51601305609074 484.44 6.18299358465285
"123" "Up" "F1" "UP1_41" 3 "F1Up" "51342" "51077" "no" 33.1 3.49953328238302 600.5 6.39776264152004
"124" "Up" "F1" "UP1_42" 1 "F1Up" "51342" "51377" "no" 31.02 3.43463215774839 487.12 6.18851049930032
"125" "Up" "F1" "UP1_42" 2 "F1Up" "51342" "51377" "no" 30.38 3.41378449716763 551.11 6.31193442625169
"126" "Up" "F1" "UP1_42" 3 "F1Up" "51342" "51377" "no" 35.78 3.57738907808057 718.33 6.57692907348774
"127" "Up" "F1" "UP1_43" 1 "F1Up" "51342" "51377" "no" 26.78 3.28765534026303 401.67 5.9956308559774
"128" "Up" "F1" "UP1_43" 2 "F1Up" "51342" "51377" "no" 34.99 3.5550623063796 516.72 6.24750114172422
"129" "Up" "F1" "UP1_43" 3 "F1Up" "51342" "51377" "no" 32.32 3.47568623365289 561.14 6.32997042875639
"130" "Up" "F1" "UP1_44" 1 "F1Up" "51342" "51485" "no" 22.48 3.11262602502549 288.16 5.66351588142765
"131" "Up" "F1" "UP1_44" 2 "F1Up" "51342" "51485" "no" 23.74 3.16716138918152 348.97 5.85498595862228
"132" "Up" "F1" "UP1_44" 3 "F1Up" "51342" "51485" "no" 26.03 3.25924971900647 357.52 5.8791913046252
"133" "Up" "F1" "UP1_45" 1 "F1Up" "51345" "51063" "no" 30.85 3.4291367503514 483.78 6.18163025792499
"134" "Up" "F1" "UP1_45" 2 "F1Up" "51345" "51063" "no" 21.84 3.0837431508767 338.99 5.82597060842029
"135" "Up" "F1" "UP1_45" 3 "F1Up" "51345" "51063" "no" 20.76 3.03302805829769 378.47 5.93613680949846
"136" "Up" "F1" "UP1_46" 1 "F1Up" "51345" "51077" "no" 28.05 3.33398863196871 514.35 6.24290396757704
"137" "Up" "F1" "UP1_46" 2 "F1Up" "51345" "51077" "no" 26.89 3.29175447028077 374.46 5.92548498817401
"138" "Up" "F1" "UP1_46" 3 "F1Up" "51345" "51077" "no" 22.72 3.12324559385295 432.26 6.06902725905577
"139" "Up" "F1" "UP1_47" 1 "F1Up" "51345" "51342" "UtF2" 37.06 3.61253822085721 554.9 6.31878791733186
"140" "Up" "F1" "UP1_47" 2 "F1Up" "51345" "51342" "UtF2" 35.9 3.58073729549423 525.61 6.2645594928646
