Generation	numb	LINE	Line	pop	dam 	sire	Gener	ind	rep	ident	Bloss	no.bloss	date	asd	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	SEL		
4	163	D	Down	51	3029A	3025A	F4	4026	B	51D4026B	2	1	03.07.2017	4,53	5,29	6,47	2,68	2,78	17,22	20,42	17,6631	351,6324	NA		
4	203	D	Down	51	3029A	3025A	F4	4026	B	51D4026B	3	1	24.07.2017	4,57	5,48	7,04	3,14	3	19,46	22	21,6128	428,12	NA		
4	39	D	Down	51	3029A	3046A	F4	4027	D	51D4027D	1	1	26.05.2017	2,52	4,88	7,61	3,42	3,3	20,6	24,37	25,5696	502,022	NA		
4	57	D	Down	51	3029A	3046A	F4	4027	D	51D4027D	2	1	05.06.2017	2,19	5,78	6,57	2,4	2,39	18,22	21,65	15,73515	394,463	NA		
4	151	D	Down	51	3029A	3046A	F4	4027	D	51D4027D	3	1	02.07.2017	1,27	2,99	6,64	2,78	2,87	17,37	21,66	18,758	376,2342	NA		
4	86	D	Down	51	3032B	3002B	F4	4029	B	51D4029B	1	1	20.06.2017	3,26	4,96	7,51	3,88	3,23	22,92	27,06	26,69805	620,2152	NA		
4	159	D	Down	51	3032B	3002B	F4	4029	B	51D4029B	2	1	03.07.2017	3,58	4,62	6,74	2,92	2,91	17,89	20,21	19,6471	361,5569	NA		
4	184	D	Down	51	3032B	3002B	F4	4029	B	51D4029B	3	1	07.07.2017	2,53	5	7,54	3,74	3,18	19,54	24,53	26,0884	479,3162	NA		
4	4	D	Down	51	3032B	3004A	F4	4030	B	51D4030B	1	1	24.05.2017	2,09	4,19	5,85	2,14	2,38	18,72	23,09	13,221	432,2448	NA		
4	26	D	Down	51	3032B	3004A	F4	4030	B	51D4030B	2	1	26.05.2017	2,36	5,12	6,92	2,61	2,65	19,94	22,39	18,1996	446,4566	NA		
4	158	D	Down	51	3032B	3004A	F4	4030	B	51D4030B	3	1	03.07.2017	1,55	4,98	7,32	2,79	2,53	16,22	20,8	19,4712	337,376	NA		
4	74	D	Down	51	3032B	3004A	F4	4030	D	51D4030D	1	1	15.06.2017	2,45	5,03	6,93	2,35	2,32	21,13	23,03	16,18155	486,6239	NA		
4	144	D	Down	51	3032B	3004A	F4	4030	D	51D4030D	2	1	30.06.2017	1,79	4,91	6,69	2,62	2,68	18,81	20,6	17,7285	387,486	NA		
4	145	D	Down	51	3032B	3004A	F4	4030	D	51D4030D	3	1	30.06.2017	2,14	4,44	6,36	2,15	2,44	19,44	21,59	14,5962	419,7096	NA		
4	42	D	Down	51	3032B	3022A	F4	4031	A	51D4031A	1	1	30.05.2017	2,92	4,63	6,78	2,69	2,93	21,29	24,39	19,0518	519,2631	NA		
4	43	D	Down	51	3032B	3022A	F4	4031	A	51D4031A	2	1	30.05.2017	2,25	4,95	6,45	2,66	2,53	21,9	24,73	16,73775	541,587	NA		
4	84	D	Down	51	3032B	3022A	F4	4031	A	51D4031A	3	1	20.06.2017	2,26	5,42	8,57	3,13	3,96	19,95	24,96	30,38065	497,952	NA		
4	2	D	Down	51	3032B	3063A	F4	4032	B	51D4032B	1	1	23.07.2017	2,75	3,76	7,08	2,38	2,47	18	19,91	17,169	358,38	NA		
4	3	D	Down	51	3032B	3063A	F4	4032	B	51D4032B	2	1	23.07.2017	3,19	3,49	7,48	2,75	2,66	19,47	22,65	20,2334	440,9955	NA		
4	210	D	Down	51	3032B	3063A	F4	4032	B	51D4032B	3	1	25.07.2017	2,79	4,23	6,2	2,32	1,78	15,07	15,69	12,71	236,4483	NA		
4	8	D	Down	51	3032B	3063A	F4	4032	C	51D4032C	1	1	24.05.2017	2,49	3,96	6,48	2,19	2,15	17,79	22,6	14,0616	402,054	NA		
4	34	D	Down	51	3032B	3063A	F4	4032	C	51D4032C	2	1	26.05.2017	1,15	4,24	5,69	2,28	2,63	18,45	21	13,96895	387,45	NA		
4	164	D	Down	51	3032B	3063A	F4	4032	C	51D4032C	3	1	03.07.2017	1,09	4,44	7,16	3,14	2,75	18,89	22,2	21,0862	419,358	NA		
4	114	D	Down	51	3033B	3004A	F4	4033	C	51D4033C	1	1	26.06.2017	2,14	4,96	6,9	2,69	2,86	17,73	20,72	19,1475	367,3656	NA		
4	115	D	Down	51	3033B	3004A	F4	4033	C	51D4033C	2	1	26.06.2017	1,92	5,65	6,86	2,87	2,91	19,17	21,34	19,8254	409,0878	NA		
4	125	D	Down	51	3033B	3004A	F4	4033	C	51D4033C	3	1	27.06.2017	2,64	5,4	7,17	2,66	2,54	19,09	21,92	18,642	418,4528	NA		
4	9	D	Down	51	3033B	3017A	F4	4034	D	51D4034D	1	1	24.05.2017	3,27	5,52	8,38	3,88	3,65	22,66	26,62	31,5507	603,2092	NA		
4	206	D	Down	51	3033B	3017A	F4	4034	D	51D4034D	2	1	24.07.2017	2,82	4,55	6,8	2,87	3,03	18,15	22,13	20,06	401,6595	NA		
4	212	D	Down	51	3033B	3017A	F4	4034	D	51D4034D	3	1	25.07.2017	4,68	4,96	8,65	3,63	4,01	19,84	23,95	33,043	475,168	NA		
4	44	D	Down	51	3033B	3017A	F4	4034	A	51D4034A	1	1	30.05.2017	2,72	4,67	6,1	2,55	2,85	20,22	21,9	16,47	442,818	NA		
4	45	D	Down	51	3033B	3017A	F4	4034	A	51D4034A	2	1	30.05.2017	2,62	4,65	6,15	2,42	2,6	18,56	20,37	15,4365	378,0672	NA		
4	85	D	Down	51	3033B	3017A	F4	4034	A	51D4034A	3	1	20.06.2017	3,1	3,46	5,19	2,08	2,09	15,16	16,64	10,82115	252,2624	NA		
4	237	D	Down	51	3033B	3029A	F4	4035	C	51D4035C	1	1	09.07.2017	2,68	6,1	5,71	2,15	2	21,52	23,39	11,84825	503,3528	NA		
4	238	D	Down	51	3033B	3029A	F4	4035	C	51D4035C	2	1	09.07.2017	2,73	6,35	6,77	2,4	2,52	22,61	24,42	16,6542	552,1362	NA		
4	211	D	Down	51	3033B	3029A	F4	4035	C	51D4035C	3	1	25.07.2017	3	4,98	6,41	2,6	2,42	18,64	20,43	16,0891	380,8152	NA		
4	7	D	Down	51	3033B	3032B	F4	4036	D	51D4036D	1	1	24.05.2017	3,24	5,07	7,97	3,13	4,24	20,28	22,64	29,36945	459,1392	NA		
4	60	D	Down	51	3033B	3032B	F4	4036	D	51D4036D	2	1	05.06.2017	2,71	4,86	5,84	2,24	2,43	21,25	24,07	13,6364	511,4875	NA		
4	104	D	Down	51	3033B	3032B	F4	4036	D	51D4036D	3	1	23.06.2017	3,11	4,24	7,08	2,52	2,64	18,17	19,88	18,2664	361,2196	NA		
4	101	D	Down	51	3033B	3032B	F4	4036	B	51D4036B	1	1	23.06.2017	3,34	5,11	6,7	2,33	2,65	21,36	25,95	16,683	554,292	NA		
4	102	D	Down	51	3033B	3032B	F4	4036	B	51D4036B	2	1	23.06.2017	1,82	4,98	6,47	2,14	2,46	19,07	22,33	14,881	425,8331	NA		
4	235	D	Down	51	3033B	3032B	F4	4036	B	51D4036B	3	2	17.08.2017	2,56	4,44	6,12	2,54	2,63	19,8	22,61	15,8202	447,678	NA		
