Generation 	Included 	Gener	Line	SEL	selected	line	dam	sire	plant	ident	Bloss	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	lbl	lbw	INCLUDED 
1	1	F1	Up	no	0	UP	51087	51136	a	UP1_18	2	3.37	6.75	3.20	3.22	21.19	23.50	21.67	497.97	NA	NA	0
1	1	F1	Up	no	0	UP	51087	51136	a	UP1_18	3	5.18	7.89	3.44	3.55	19.10	23.31	27.58	445.22	NA	NA	0
1	1	F1	Up	no	0	UP	51087	51153	a	UP1_19	1	5.19	8.42	3.96	3.96	20.12	25.36	33.34	510.24	NA	NA	0
1	1	F1	Up	no	0	UP	51087	51153	a	UP1_19	2	5.59	7.56	3.13	3.37	23.82	28.33	24.57	674.82	NA	NA	0
1	1	F1	Up	no	0	UP	51087	51153	a	UP1_19	3	3.64	6.62	2.95	2.60	17.46	21.82	18.37	380.98	NA	NA	0
1	1	F1	Up	no	0	UP	51087	51290	a	UP1_20	1	5.66	7.12	3.54	3.05	22.02	24.26	23.46	534.21	NA	NA	0
1	1	F1	Up	no	0	UP	51087	51290	a	UP1_20	2	5.33	8.01	3.70	3.90	21.26	26.04	30.44	553.61	NA	NA	0
1	1	F1	Up	no	0	UP	51087	51290	a	UP1_20	3	4.99	7.96	3.52	3.84	20.92	26.46	29.29	553.54	NA	NA	0
1	1	F1	Up	no	0	UP	51136	51153	a	UP1_21	1	3.76	7.83	3.84	3.45	16.80	19.45	28.54	326.76	NA	NA	0
1	1	F1	Up	no	0	UP	51136	51153	a	UP1_21	2	4.63	7.22	3.44	3.39	17.94	21.31	24.66	382.30	NA	NA	0
1	1	F1	Up	no	0	UP	51136	51153	a	UP1_21	3	5.11	7.62	3.44	3.43	18.76	24.14	26.17	452.87	NA	NA	0
1	1	F1	Up	no	0	UP	51136	51153	b	UP1_22	1	5.08	7.94	3.96	3.94	22.28	24.96	31.36	556.11	NA	NA	0
1	1	F1	Up	no	0	UP	51136	51153	b	UP1_22	2	5.74	7.97	3.77	4.17	19.46	26.07	31.64	507.32	NA	NA	0
1	1	F1	Up	no	0	UP	51136	51153	b	UP1_22	3	5.40	7.98	3.88	4.08	21.18	26.34	31.76	557.88	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51136	51243	a	UP1_23	1	4.86	8.97	4.29	4.32	19.03	22.12	38.62	420.94	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51136	51243	a	UP1_23	2	4.73	8.64	4.02	4.40	20.01	23.55	36.37	471.24	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51136	51243	a	UP1_23	3	5.77	9.06	4.20	3.95	20.47	27.59	36.92	564.77	NA	NA	0
1	1	F1	Up	no	0	UP	51136	51290	a	UP1_24	1	4.98	7.89	3.65	3.95	21.02	26.81	29.98	563.55	NA	NA	0
1	1	F1	Up	no	0	UP	51136	51290	a	UP1_24	2	4.80	7.40	4.27	4.00	18.16	22.93	30.60	416.41	NA	NA	0
1	1	F1	Up	no	0	UP	51136	51290	a	UP1_24	3	5.78	7.70	3.91	3.43	21.16	23.07	28.26	488.16	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51136	51367	a	UP1_25	1	5.38	8.61	3.90	3.85	19.64	24.21	33.36	475.48	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51136	51367	a	UP1_25	2	4.94	8.41	3.95	3.79	19.54	25.75	32.55	503.16	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51136	51367	a	UP1_25	3	6.08	8.61	3.84	3.71	19.46	23.35	32.50	454.39	NA	NA	0
1	1	F1	Up	no	0	UP	51153	51290	a	UP1_26	1	6.01	6.49	2.45	2.74	21.23	22.54	16.84	478.52	NA	NA	0
1	1	F1	Up	no	0	UP	51153	51290	a	UP1_26	2	4.81	7.05	3.15	2.65	21.68	24.68	20.45	535.06	NA	NA	0
1	1	F1	Up	no	0	UP	51153	51290	a	UP1_26	3	4.49	7.94	3.76	3.53	21.02	25.15	28.94	528.65	NA	NA	0
1	1	F1	Up	no	0	UP	51153	51290	b	UP1_27	1	4.51	7.77	3.69	4.03	21.28	26.66	29.99	567.32	NA	NA	0
1	1	F1	Up	no	0	UP	51153	51290	b	UP1_27	2	5.13	8.04	3.83	3.93	24.18	28.95	31.20	700.01	NA	NA	0
1	1	F1	Up	no	0	UP	51153	51290	b	UP1_27	3	5.40	8.00	3.98	3.91	22.00	28.04	31.56	616.88	NA	NA	0
