ind	Line	Gener	block	dam	sire	bloss	malefl	gad	Gwtot	GHl	GHr	UBL	UBW	GA	UBA	lbl	lbw	selected	select_rand	SEL
70490	Parent	P	9	40025	40128	1	1	3.22	6.24	2.58	2.67	18.87	20.75	16.38	391.55	NA	NA	NA	NA	no
70490	Parent	P	9	40025	40128	2	1	3.76	5.94	2.57	2.79	17.45	18.38	15.92	320.73	NA	NA	NA	NA	no
70490	Parent	P	9	40025	40128	3	1	3.44	5.70	2.66	2.67	16.69	16.59	15.19	276.89	NA	NA	NA	NA	no
70490	Parent	P	9	40025	40128	4	2	4.19	6.67	2.96	3.11	17.26	20.18	20.24	348.31	NA	NA	NA	NA	no
70498	Parent	P	4	40103	40075	1	1	3.27	7.12	3.05	2.75	17.48	23.38	20.65	408.68	NA	NA	NA	NA	no
70498	Parent	P	4	40103	40075	2	1	4.22	6.45	2.59	2.49	18.43	21.49	16.38	396.06	NA	NA	NA	NA	no
70498	Parent	P	4	40103	40075	3	1	3.34	7.14	2.97	2.83	21.12	20.94	20.71	442.25	NA	NA	NA	NA	no
70498	Parent	P	4	40103	40075	4	1	4.27	7.65	3.16	3.14	20.05	23.23	24.10	465.76	NA	NA	NA	NA	no
70500	Parent	P	1	40026	40053	1	1	3.74	7.10	3.47	3.48	20.19	23.40	24.67	472.45	NA	NA	NA	NA	no
70500	Parent	P	1	40026	40053	2	1	3.98	6.76	2.85	2.90	16.35	21.16	19.44	345.97	NA	NA	NA	NA	no
70500	Parent	P	1	40026	40053	3	1	3.71	6.78	2.91	2.98	16.36	21.92	19.97	358.61	NA	NA	NA	NA	no
70500	Parent	P	1	40026	40053	4	2	3.61	6.10	2.84	2.99	18.60	20.19	17.78	375.53	NA	NA	NA	NA	no
70503	Parent	P	3	40146	40094	1	1	3.04	7.20	3.15	3.13	16.04	18.29	22.61	293.37	NA	NA	NA	NA	no
70503	Parent	P	3	40146	40094	2	2	3.40	6.26	2.58	2.74	17.89	16.49	16.65	295.01	NA	NA	NA	NA	no
70503	Parent	P	3	40146	40094	3	1	2.66	7.07	2.69	2.65	17.40	18.19	18.88	316.51	NA	NA	NA	NA	no
70503	Parent	P	3	40146	40094	4	1	3.57	7.10	2.96	2.84	18.61	18.65	20.59	347.08	NA	NA	NA	NA	no
P21001	Down	F1	NA	70063	70136	1	1	3.1	6.58	2.61	2.97	18.18	20.01	18.36	363.78	NA	NA	0	NA	no
