No.	line	Line	pop	dam	sire	Gener	ind1	rep	ind	bloss	malefl	date	ASD	GAD	GW	GHl	GHr	UBL	UBW	GA	BA	SEL		
116	D	Down	70	70D3037	D3010	F4	4033	A	70D4033A	2	1	29.07.2016	0,35	3,54	5,85	2,44	2,57	22,67	22,44	14,65425	508,7148	NA		
151	D	Down	70	70D3037	D3010	F4	4033	A	70D4033A	3	1	08.08.2016	1,02	3,13	5,98	2,55	2,67	22,34	21,83	15,6078	487,6822	NA		
45	D	Down	70	70D3037	D3028	F4	4034	A	70D4034A	1	2	25.07.2016	0	3,09	6,16	2,55	2,5	22,77	20,67	15,554	470,6559	NA		
81	D	Down	70	70D3037	D3028	F4	4034	A	70D4034A	2	1	28.07.2016	0	3,06	5,2	1,79	1,82	18,01	15,29	9,386	275,3729	NA		
169	D	Down	70	70D3037	D3028	F4	4034	A	70D4034A	3	1	11.08.2016	0	2,96	6,57	2,21	2,28	20,54	17	14,74965	349,18	NA		
74	D	Down	70	70D3037	D3036	F4	4035	C	70D4035C	1	1	28.07.2016	0	3,11	5,95	2,46	2,22	21,19	19,05	13,923	403,6695	NA		
122	D	Down	70	70D3037	D3036	F4	4035	C	70D4035C	2	1	07.08.2016	0	2,34	5,62	1,91	1,88	21,36	19,94	10,6499	425,9184	NA		
157	D	Down	70	70D3037	D3036	F4	4035	C	70D4035C	3	2	09.08.2016	0,35	3,14	6,03	2,27	2,32	20,9	19,41	13,83885	405,669	NA		
188	D	Down	70	70D3037	D3064	F4	4036	B	70D4036B	1	1	23.08.2016	0	2,71	6,28	2,46	2,28	21,85	20,83	14,8836	455,1355	NA		
197	D	Down	70	70D3037	D3064	F4	4036	B	70D4036B	2	2	24.08.2016	0,1	3,15	6,13	2	1,98	21,16	18,97	12,1987	401,4052	NA		
226	D	Down	70	70D3037	D3064	F4	4036	B	70D4036B	3	1	29.08.2016	0,72	2,32	5,89	2,12	2,17	19,83	18,33	12,63405	363,4839	NA		
21	D	Down	70	70D3048	D3009	F4	4037	A	70D4037A	1	2	20.07.2016	1,5	2,39	5,94	2,08	2,17	17,52	17,19	12,6225	301,1688	NA		
155	D	Down	70	70D3048	D3009	F4	4037	A	70D4037A	2	2	09.08.2016	0	2,81	7,09	2,46	2,74	18,7	17,08	18,434	319,396	NA		
160	D	Down	70	70D3048	D3009	F4	4037	A	70D4037A	3	3	10.08.2016	1,85	2,56	6,57	2,48	2,48	19,63	17,81	16,2936	349,6103	NA		
65	D	Down	70	70D3048	D3029	F4	4038	B	70D4038B	1	1	27.07.2016	0	2,6	6,11	2,23	2,23	19,5	18,08	13,6253	352,56	NA		
92	D	Down	70	70D3048	D3029	F4	4038	B	70D4038B	2	1	28.07.2016	0	2,84	6,22	2,46	2,52	18,87	17,85	15,4878	336,8295	NA		
50	D	Down	70	70D3048	D3029	F4	4038	B	70D4038B	3	2	26.07.2016	1,09	2,81	5,09	1,93	2,11	19,53	16,52	10,2818	322,6356	NA		
48	D	Down	70	70D3048	D3037	F4	4039	A	70D4039A	1	1	25.07.2016	0	2,36	5,49	1,84	2,17	20,35	16,28	11,00745	331,298	NA		
228	D	Down	70	70D3048	D3037	F4	4039	A	70D4039A	2	1	29.08.2016	0	3,16	5,99	2,05	2,05	21,53	18,47	12,2795	397,6591	NA		
235	D	Down	70	70D3048	D3037	F4	4039	A	70D4039A	3	1	02.09.2016	0	2,36	6,68	2,4	2,46	21,96	21,84	16,2324	479,6064	NA		
138	D	Down	70	70D3048	D3037	F4	4039	B	70D4039B	1	1	08.08.2016	0	2,84	5,61	2,3	2,5	20,24	16,65	13,464	336,996	NA		
